DATE,price
2009-10-07,0.28438
2009-10-08,0.28438
2009-10-09,0.28438
2009-10-10,0.28438
2009-10-11,0.28438
2009-10-12,0.28438
2009-10-13,0.28438
2009-10-14,0.28406
2009-10-15,0.28406
2009-10-16,0.28406
2009-10-17,0.28406
2009-10-18,0.28406
2009-10-19,0.28338
2009-10-20,0.28313
2009-10-21,0.28344
2009-10-22,0.28219
2009-10-23,0.28188
2009-10-24,0.28188
2009-10-25,0.28188
2009-10-26,0.28063
2009-10-27,0.28063
2009-10-28,0.28063
2009-10-29,0.28063
2009-10-30,0.28063
2009-10-31,0.28063
2009-11-01,0.28063
2009-11-02,0.27938
2009-11-03,0.27813
2009-11-04,0.2775
2009-11-05,0.27531
2009-11-06,0.27406
2009-11-07,0.27406
2009-11-08,0.27406
2009-11-09,0.2725
2009-11-10,0.2725
2009-11-11,0.2725
2009-11-12,0.2725
2009-11-13,0.2725
2009-11-14,0.2725
2009-11-15,0.2725
2009-11-16,0.27125
2009-11-17,0.27031
2009-11-18,0.26906
2009-11-19,0.26656
2009-11-20,0.26219
2009-11-21,0.26219
2009-11-22,0.26219
2009-11-23,0.26188
2009-11-24,0.26063
2009-11-25,0.25563
2009-11-26,0.25438
2009-11-27,0.25563
2009-11-28,0.25563
2009-11-29,0.25563
2009-11-30,0.25656
2009-12-01,0.25531
2009-12-02,0.255
2009-12-03,0.25531
2009-12-04,0.25656
2009-12-05,0.25656
2009-12-06,0.25656
2009-12-07,0.25656
2009-12-08,0.25594
2009-12-09,0.25519
2009-12-10,0.25425
2009-12-11,0.25363
2009-12-12,0.25363
2009-12-13,0.25363
2009-12-14,0.25375
2009-12-15,0.25344
2009-12-16,0.25375
2009-12-17,0.25338
2009-12-18,0.25125
2009-12-19,0.25125
2009-12-20,0.25125
2009-12-21,0.24875
2009-12-22,0.24875
2009-12-23,0.25063
2009-12-24,0.25063
2009-12-25,0.25063
2009-12-26,0.25063
2009-12-27,0.25063
2009-12-28,0.25063
2009-12-29,0.25063
2009-12-30,0.25063
2009-12-31,0.25063
2010-01-01,0.25063
2010-01-02,0.25063
2010-01-03,0.25063
2010-01-04,0.25438
2010-01-05,0.2525
2010-01-06,0.25
2010-01-07,0.24938
2010-01-08,0.25125
2010-01-09,0.25125
2010-01-10,0.25125
2010-01-11,0.25125
2010-01-12,0.25125
2010-01-13,0.25125
2010-01-14,0.25125
2010-01-15,0.25125
2010-01-16,0.25125
2010-01-17,0.25125
2010-01-18,0.24875
2010-01-19,0.249
2010-01-20,0.24888
2010-01-21,0.24888
